Model,Scaling,Encoded(OneHot),F1_score,AHHD_Outcome AUC,Sex_F AUC
KNN,Minmax,0,0.5962615464411757,0.71,0.55
DT,Minmax,0,0.6625026340431238,0.76,0.47
RF,Minmax,0,0.5260430897975457,0.64,0.52
Log_reg,Minmax,0,0.6916986550089198,0.75,0.62
svm,Minmax,0,0.6791532101236195,0.71,0.62
DNN,Minmax,0,0.6393773555755615,0.69,0.63
KNN,Standard,0,0.6890706578489384,0.64,0.55
DT,Standard,0,0.6625026340431238,0.76,0.47
RF,Standard,0,0.527088423968341,0.64,0.52
Log_reg,Standard,0,0.6895626337967283,0.76,0.62
xgb,Standard,0,0.6710314033569305,0.76,0.62
svm,Standard,0,0.6685884078032318,0.67,0.6
DNN,Standard,0,0.6440311074256897,0.7,0.63
KNN,Standard,1,0.5723561060860851,0.52,0.51
DT,Standard,1,0.5848690160711103,0.5,0.55
RF,Standard,1,0.5111463787839605,0.5,0.54
Log_reg,Standard,1,0.6224793892186209,0.54,0.59
svm,Standard,1,0.611334983865766,0.5,0.59
DNN,Standard,1,0.6040570139884949,0.51,0.64
KNN,Minmax,1,0.5886546005785599,0.5,0.52
DT,Minmax,1,0.5848690160711103,0.5,0.55
RF,Minmax,1,0.5111463787839605,0.5,0.54
Log_reg,Minmax,1,0.6223716173717186,0.54,0.59
svm,Minmax,1,0.6073042944439095,0.53,0.57
DNN,Minmax,1,0.6106871366500854,0.53,0.61
